,conf,ra,dec
0,0.99823016,359.87797410131003,-60.75432343449781
1,0.9981382,358.4572060789473,-62.752148781578946
2,0.99755573,358.7210889030457,-62.91458356700509
3,0.9971259,357.9635575138889,-58.568506444444445
4,0.99661356,0.5863144974248927,-60.82403932103005
5,0.9964709,358.2167841314286,-62.93421438400001
6,0.9963188,0.5994042057251908,-62.450081831679384
7,0.996314,0.9021072493506492,-60.12014954675325
8,0.99623615,356.96946787279416,-59.93524972647059
9,0.99560875,357.1613125013334,-59.07158213333334
10,0.9952253,357.16636813852455,-59.04575267459016
11,0.99522215,358.6863807528571,-56.88278703380953
12,0.995174,0.1836964736625514,-62.43450144691357
13,0.99354243,359.0415190360784,-60.81910392745098
14,0.99318635,2.4533163229357795,-56.9277648380734
15,0.9928092,0.8465688840707962,-63.083440924778756
16,0.9926681,1.3293127515873016,-61.30840865873016
17,0.9925357,357.1513309520661,-57.57377333264462
18,0.9924919,357.9864670892157,-57.360900692647064
19,0.99243987,1.3010724280172412,-60.702535709913796
20,0.99209213,358.709152049434,-59.41842000905661
21,0.99141955,1.0258902587301586,-61.0776990484127
22,0.9913368,1.0771941999999999,-59.60205524047619
23,0.99064386,359.62678763599996,-57.29517240319999
24,0.9906386,0.7466178580310882,-60.46320729585493
25,0.98998296,2.3750761763819095,-58.418767166331655
26,0.9897288,0.8377996954545454,-58.69022657045455
27,0.98890465,357.1668450957143,-59.04324254750001
28,0.9885843,0.11486518319672129,-56.96095630737705
29,0.988014,0.2684957798742138,-62.73216963773585
30,0.9875546,359.80092659885935,-57.46137716045627
31,0.98731554,2.302037782113821,-60.851613302032526
32,0.9867356,357.7982606088,-61.1162787408
33,0.9861211,357.76472856601305,-59.244378130065364
34,0.9858813,359.2343897586539,-61.120488973076924
35,0.9854027,358.5823041438017,-59.057682728099174
36,0.98525226,2.88642564587156,-62.50894363715595
37,0.98516685,2.7463520125423724,-61.97184377288135
38,0.9847617,1.1460121726618706,-59.66131895755396
39,0.98349804,0.08108649602888082,-61.40936797292418
40,0.98336375,357.1564406149254,-59.09523862089552
41,0.983296,357.16765819804687,-59.039238701171875
42,0.9831874,0.264422701369863,-59.55544772260273
43,0.9827869,357.0533333710204,-57.5839964722449
44,0.98254967,2.318917024766355,-57.52535936588786
45,0.98249865,356.87732989756097,-58.19706418455285
46,0.98230827,1.2333143851694917,-62.935731024152545
47,0.9822503,359.33331946830987,-58.13394302676057
48,0.9821699,357.1364004356725,-59.05605225672516
49,0.9821024,359.62133737719296,-63.00314452192983
50,0.98136073,358.1861477662338,-57.91874619675325
51,0.9809575,1.7139327338461539,-58.96715529179488
52,0.9808745,1.0594930056521739,-60.72029638956521
53,0.98061085,359.6435946074766,-60.5309832042056
54,0.98044133,357.1409931094737,-59.05632371631579
55,0.9797054,0.7364395241935483,-58.94571869408602
56,0.9792835,358.2492293561905,-59.188629307619046
57,0.97903067,359.72916382524267,-58.977653961165046
58,0.97892797,358.210543444586,-62.16079528980891
59,0.9786477,2.221340268556701,-59.97827838298969
60,0.97830486,2.3071886234042553,-61.73788757198582
61,0.97756326,357.48726920875004,-62.20994834583333
62,0.9768595,359.313330785,-60.58230437541667
63,0.9767427,1.8134711188073394,-62.314182011467885
64,0.9760035,359.62653585539914,-59.126460820657286
65,0.97588694,358.700059100957,-56.87790806889952
66,0.97566175,2.096930612184874,-58.436463834873955
67,0.975547,359.26933435261043,-57.738523384337356
68,0.9755231,359.7085033898396,-59.954588340641706
69,0.9755111,0.2007584872928177,-59.28619324972376
70,0.97482985,359.62705461916664,-57.29289959583334
71,0.9738045,359.11875376940293,-62.17064079179105
72,0.9726653,357.7113389829365,-61.0707995797619
73,0.9716106,1.3338707890410957,-60.44105708173517
74,0.97127885,357.12809557162785,-59.05561018976744
75,0.9711882,357.7444564853261,-59.229116608152175
76,0.97049755,2.1140138329479767,-59.618873930635836
77,0.97012985,2.815758363559322,-56.905774036440675
78,0.96981794,357.23732411335743,-59.061349994223825
79,0.9677563,357.984531203653,-59.20048848630137
80,0.9675991,358.98865226136365,-57.61403284954545
81,0.9669367,0.9965877562043797,-59.69649037226278
82,0.9660071,357.9574129113475,-60.19611059078015
83,0.9649739,0.3378800281553398,-59.80085519126214
84,0.96483964,1.8253435836065575,-60.65321887213115
85,0.9646449,2.959732516363636,-62.13707569030303
86,0.96432185,357.41542900499996,-61.523434625
87,0.96318275,1.6885594164319246,-60.19367077558685
88,0.96279883,357.387164565896,-60.66356438208093
89,0.9626872,0.8539260489795917,-61.21643346683674
90,0.96150684,1.28115889375,-59.11259097954546
91,0.9607937,0.6875221058365758,-61.41983731206226
92,0.96071225,1.089124875319149,-57.505602730638294
93,0.9604874,358.0528617538461,-60.509560678929766
94,0.96013796,2.921859325362319,-58.85344327246377
95,0.95965433,0.4569176992509363,-62.28174193220974
96,0.9594652,358.03907585648153,-60.52571720555556
97,0.958861,359.18593267721525,-57.134798498734185
98,0.9584817,1.927892282389937,-62.3154097327044
99,0.95804,358.9515178267857,-60.26741928321428
100,0.9577623,1.036492196491228,-59.74039568859649
101,0.9551076,1.3959307520325202,-57.94517531788618
