,Unnamed: 0,conf,ra,dec,simbad_match,score,flagged
0,0,0.9995795,31.82392180235849,-58.65345922099057,False,0,
1,1,0.9990847,29.69521787357513,-61.5697464611399,False,0,
2,2,0.99897265,29.30838916533333,-61.59385850833333,False,0,2.0
3,3,0.99894196,28.590503541197187,-59.74571265915493,True,0,
4,4,0.9984067,30.5746977125,-59.17570367936047,False,0,
5,5,0.9979602,29.102147729351536,-61.93321575119455,False,0,
6,6,0.9971853,30.50821585246913,-59.37165133858024,False,0,
7,7,0.9969298,31.134722162924287,-61.35353617180156,False,0,
8,8,0.9966192,28.35929897972973,-58.90274474909909,False,0,
9,9,0.9963685,29.54889473012987,-58.36538658909091,False,0,
10,10,0.9961987,29.15563242987013,-58.471349213636366,True,0,
11,11,0.9955395,30.150003338972805,-60.82230466374622,False,0,
12,12,0.9955355,28.943818396,-60.86065086545455,True,0,
13,13,0.995455,28.086976736585367,-58.80929514243903,False,0,
14,14,0.9950918,30.11200237390029,-61.84913743636364,False,0,
15,15,0.99462354,28.31826589640288,-60.33299078093525,True,0,
16,16,0.9945479,29.59990334304636,-61.48809371456954,False,0,
17,17,0.9934854,29.19785871331169,-58.74369120941557,False,0,
18,18,0.9918399,29.981184806369424,-59.24902506719745,True,0,
19,19,0.9895784,28.951541897530863,-60.77443960277778,False,0,
20,20,0.988371,29.540135003956834,-59.28499731474821,False,0,
21,21,0.9875451,31.587834030158724,-59.26404516746032,False,0,
22,22,0.98699063,30.15501002236025,-59.32370130559006,True,0,
23,23,0.9861389,28.230805967123285,-58.91446360821917,False,0,
24,24,0.983356,28.74969797018633,-60.10889967732919,False,0,
25,25,0.9833361,30.528359609577464,-61.16813944394366,False,0,
26,26,0.98182285,29.82301167018072,-60.9340711003012,False,0,
27,27,0.98076296,28.83207418206897,-60.31262160137931,False,0,
28,28,0.9802581,29.44526795230125,-59.34810442301256,False,0,
29,29,0.9770538,28.864222513375797,-60.785701794586,False,0,
30,30,0.9748751,30.24185869139073,-59.70657551192054,False,0,
31,31,0.9692815,30.716492974662163,-59.67862021047298,False,0,
32,32,0.9677968,29.66605882225913,-61.60288731162791,False,0,
33,33,0.9626366,28.976630537142853,-59.63395445,False,0,
34,34,0.96091676,30.76111246432432,-59.08310698027027,False,0,
35,35,0.9567247,29.038030841434264,-59.2141120808765,False,0,
36,36,0.95594746,29.864308269230765,-58.96496695213676,False,0,
37,37,0.9515327,30.1485887302267,-58.396290098488656,False,0,
38,38,0.94873506,30.1632185345946,-60.47365183810811,False,0,
39,39,0.93913084,29.8816222100346,-61.13597892975778,False,0,
40,40,0.9366556,29.236580751775147,-58.29284335266272,False,0,
41,41,0.9360273,31.14742388664921,-61.16188413193718,False,0,
42,42,0.93486756,31.85979829406528,-59.67951280682492,False,0,
43,43,0.9337587,29.140089603144656,-60.22566190251572,False,0,
44,44,0.9322857,29.411824060818716,-58.53745727280702,False,0,
45,45,0.92922753,28.74420542683706,-60.78702583290734,False,0,
46,46,0.9215712,29.555702921787702,-58.44924364301677,False,0,
47,47,0.92033666,30.146316166060608,-60.19659142181818,False,0,
48,48,0.9189159,30.892045393527503,-59.59259677475729,False,0,
49,49,0.9161984,30.76677527251462,-59.218281495321634,False,0,
50,50,0.91465926,31.74164879730392,-58.45498901985293,False,0,
51,51,0.9132756,30.187313460906516,-60.27430537308783,False,0,
52,52,0.9081936,31.11734557664671,-60.10623217724551,False,0,
53,53,0.8795506,30.46918470146628,-60.56198945102639,False,0,
54,54,0.87427527,31.63755341941032,-58.21096507420148,False,0,
55,55,0.85027075,30.405795045121955,-60.87723842439024,False,0,
56,56,0.8297625,30.735867827647063,-60.71784680764706,False,0,
57,57,0.82092804,28.89658107478261,-59.211665928260864,False,0,
58,58,0.8198512,29.197390967096773,-61.28851337612904,False,0,
59,59,0.80716157,31.36547569777777,-59.00879953160494,False,0,
60,60,0.80350554,28.283364908333333,-61.683071873,False,0,
