,Unnamed: 0,conf,ra,dec,simbad_match,score
0,0,0.9944912,29.50276186553672,-61.36484122937853,False,0
1,1,0.9942363,31.582079008374382,-59.37034722068965,False,0
2,2,0.9934835,29.46854595299145,-59.3472761991453,False,0
3,3,0.9934077,30.14347298396226,-60.18230136698113,False,0
4,4,0.9927458,31.561300026139826,-60.093823862310025,False,0
5,5,0.9876329,28.97298123964497,-60.859053631952655,False,0
6,6,0.98650116,31.465458489274447,-59.58027417981073,False,0
7,7,0.9863071,28.941281468032788,-60.84886485163934,True,0
8,8,0.9862461,28.808287930270268,-60.31368034864865,False,0
9,9,0.98505044,28.914628713125,-60.862147912500006,False,0
10,10,0.9845254,28.313237707534253,-61.68123337328767,False,0
11,11,0.9819449,28.189961608379885,-61.13822536648045,True,0
12,12,0.9807993,28.346866672727277,-60.33167401818182,False,0
13,13,0.9799681,28.32043016746032,-60.34471628015873,False,0
14,14,0.97966284,29.168341615131578,-60.22430783881579,False,0
15,15,0.9756909,31.17580881661972,-61.01747623605634,False,0
16,16,0.97429436,31.64266847596154,-61.89553809519232,False,0
17,17,0.9742716,28.726548402575105,-58.98454918068669,False,0
18,18,0.9742245,31.402360897260277,-61.056741816438354,True,0
19,19,0.973335,30.36251927829457,-61.28640371782945,False,0
20,20,0.97266746,28.09197015523013,-61.022253490794974,False,0
21,21,0.97244287,28.637654443055556,-58.944761806944456,False,0
22,22,0.96771437,30.43906811875,-61.77367849196429,False,0
23,23,0.96484804,29.78146336564417,-61.56425023803682,False,0
24,24,0.96262956,28.946667264238403,-60.872463947019874,False,0
25,25,0.960305,28.287340379787235,-61.69724370851064,False,0
26,26,0.95735896,28.70434914151786,-59.30763074821429,False,0
27,27,0.95621353,29.11126600408163,-59.78533517244899,False,0
28,28,0.9541038,29.718183479389317,-60.934936423664126,False,0
29,29,0.9536358,30.658350235526317,-58.99078351052631,False,0
30,30,0.95345896,31.274572271581768,-59.167032197050936,False,0
31,31,0.9528124,31.894059699109796,-61.27133248071217,False,0
32,32,0.9499734,30.117060612446352,-61.36037741244635,False,0
33,33,0.9471192,28.31605133142857,-60.321257614285706,False,0
34,34,0.94530314,28.9815897398844,-58.63532220231214,False,0
35,35,0.9439261,31.31364504925816,-60.3497098305638,False,0
36,36,0.94313735,28.80333363659794,-60.31390263041237,False,0
37,37,0.9424329,28.913957381333336,-60.78381501399999,False,0
38,38,0.94201505,28.846479312820517,-58.6782797029304,False,0
39,39,0.94025046,29.798201364102567,-58.40810933410257,False,0
40,40,0.93933874,30.11756950884956,-60.19795110973451,False,0
41,41,0.93905866,31.70969520310078,-59.52303681550388,False,0
42,42,0.9389915,31.17146695830509,-59.69190068915255,False,0
43,43,0.9387957,28.21304075876778,-59.042684676777256,False,0
44,44,0.9380869,29.82159179363057,-60.80091140382167,False,0
45,45,0.93446136,28.9487193505848,-58.087052062865496,False,0
46,46,0.93432677,30.95360362767857,-60.49341041785714,False,0
47,47,0.93256044,30.486260190163936,-59.53894803868853,False,0
48,48,0.93215173,31.671510713373856,-60.61822052370821,False,0
49,49,0.9300833,30.48202248108109,-60.93534300337839,False,0
50,50,0.9291699,31.604923293220335,-60.032718598305074,False,0
51,51,0.9250586,30.77241359303797,-59.659604561392406,False,0
52,52,0.92460763,30.5210545504,-58.224606708,False,0
53,53,0.92230314,29.509946309219856,-58.87650687943263,False,0
54,54,0.9218453,29.11625769862069,-60.22668765517242,False,0
55,55,0.92167264,28.7972156107438,-60.31418440330578,False,0
56,56,0.92119247,31.86564167298578,-59.51019792748815,False,0
57,57,0.9209887,29.569576366442952,-60.11767952550335,False,0
58,58,0.92078364,30.345706066453676,-59.25971991629394,False,0
59,59,0.9196954,31.145212929925187,-61.84090337680798,False,0
60,60,0.918781,29.427244341319447,-59.61709183333333,False,0
61,61,0.9186936,31.890964634928235,-59.393540356459326,False,0
62,62,0.91626805,28.50351879243697,-58.74289474117648,False,0
63,63,0.9138574,28.54285184545455,-59.08166305954546,False,0
64,64,0.9111666,29.44321262965517,-59.33386191724138,False,0
65,65,0.9033251,29.33264124108108,-61.793305663243245,False,0
66,66,0.90202653,30.42039799854652,-60.86119629825582,False,0
67,67,0.8992029,31.714497914383564,-58.41541307876713,False,0
68,68,0.89841694,30.23420879088236,-61.18149188470589,False,0
69,69,0.8981581,29.71977528479532,-61.56814782456139,False,0
70,70,0.89502555,28.685777129166663,-59.4033621125,False,0
71,71,0.8865842,28.201515171957677,-59.57116246190475,False,0
72,72,0.88405406,29.21216156609196,-59.85684798275862,False,0
73,73,0.8837332,30.69584680357143,-61.25389420142857,False,0
74,74,0.8829651,30.076191722672064,-61.29149611497976,False,0
75,75,0.88258624,29.44776721980198,-59.36502144554456,False,0
76,76,0.8825371,29.80948880327869,-61.88275210655739,False,0
77,77,0.8794326,28.143571576842103,-60.4921094368421,False,0
78,78,0.87750626,29.297987313178293,-61.28504353488372,False,0
79,79,0.87385714,31.28656286350365,-61.27705316569344,False,0
80,80,0.87304354,28.160306758381505,-61.8139274098266,False,0
81,81,0.8713619,28.5611008420354,-59.12454195530973,False,0
82,82,0.87095153,31.29620371487604,-58.87388831157025,False,0
83,83,0.8703347,31.626032918840583,-58.73918803159419,False,0
84,84,0.86837894,31.703959963204746,-60.71619529020772,False,0
85,85,0.86387676,28.33982294982935,-60.401603111604096,False,0
86,86,0.86272925,30.769780525,-58.334285721323525,False,0
87,87,0.8618248,29.0969907179402,-61.81868170830565,False,0
88,88,0.8596571,31.674933588888887,-61.2006237590786,False,0
89,89,0.85851425,31.800280554518945,-60.36374114548104,False,0
90,90,0.85720885,29.53531980759493,-60.908081148734176,False,0
91,91,0.8549119,28.91251685477032,-58.48332592049469,False,0
92,92,0.8521854,28.58348044742268,-58.58542039690721,False,0
93,93,0.8506498,30.6467624592233,-61.4835868291262,False,0
94,94,0.8480738,30.67105335925926,-60.2416404941358,False,0
95,95,0.84700483,31.17703034910941,-61.74571539796438,False,0
