,conf,ra,dec
0,0.9992835,1.534832011627907,-59.08751372325581
1,0.99916077,1.8150000221311475,-58.46024899795082
2,0.99912184,0.030917836653386422,-62.397875712749006
3,0.9990508,3.0102270398467432,-60.07844494482759
4,0.999003,357.70437940816333,-62.359468832653064
5,0.9989255,358.37380679353237,-62.6992869039801
6,0.99892104,357.74899667803925,-61.557552121568634
7,0.9988029,1.1057455475000002,-62.95881223541667
8,0.998448,359.894068625,-59.716853025000006
9,0.9979722,357.7398900397436,-60.1514023102564
10,0.9978066,359.68948962039804,-58.66391132089553
11,0.99780005,2.1045311570850203,-60.27692640526316
12,0.9975815,359.7622943925287,-59.5307968545977
13,0.9975374,357.9193032992278,-61.67990937606178
14,0.9973864,357.4926741822857,-61.13526334914286
15,0.99711657,1.6181067219858156,-62.68828291347518
16,0.99711514,0.7301780896174862,-59.11954728306011
17,0.9969405,357.2962306304167,-61.675980018333334
18,0.99661785,1.1073090026315788,-62.56790391654134
19,0.9965952,356.9131137512545,-60.76391611362008
20,0.99643034,0.33477065631578945,-58.58029172578947
21,0.9961145,357.0668360900433,-57.316888477056274
22,0.9960756,356.94253082407414,-58.12938403666667
23,0.99591357,2.6028803682432433,-63.0616485347973
24,0.99579775,0.3141635256505576,-61.14654927583642
25,0.9956458,358.35123334249084,-61.606079395970696
26,0.9953151,2.766024244032922,-59.0264289563786
27,0.99523664,359.59012646684494,-63.00271938235294
28,0.9948585,0.3073179195744681,-56.90615316127659
29,0.99483347,1.6481218482905982,-58.30847633974359
30,0.99474674,359.7259275512295,-58.23840504057378
31,0.9927704,2.8724470694980697,-58.25720792200773
32,0.99267006,359.18307941479816,-57.14835887623318
33,0.9925932,357.74185317166666,-59.243162857666675
34,0.9925298,359.52526479132234,-57.10048873388429
35,0.9923522,358.5184374461832,-62.115117454580144
36,0.99210477,358.7414418126829,-62.868956582926835
37,0.9918652,1.5736426341935483,-62.117793015806456
38,0.9918469,1.8526748635193133,-56.873700089270386
39,0.9918041,359.6299500282313,-57.280764400680276
40,0.99156255,359.03616432488263,-62.87239051079813
41,0.99125683,358.0819463476534,-60.833219920938625
42,0.99024594,359.9279130336171,-60.78772243829788
43,0.989999,1.0132486421052633,-61.11025428421053
44,0.98901933,1.9024463551094892,-62.31509478138686
45,0.9884736,3.0942300498023716,-59.20693908735178
46,0.9882039,358.01200388545453,-59.20182922509091
47,0.9880243,359.7930234067308,-60.489582799519226
48,0.98797685,358.2346459808118,-61.98633650369005
49,0.9852282,1.4119024978448278,-58.28956081982758
50,0.9850974,0.5113822725806451,-60.47719874569893
51,0.9849244,357.4367130921429,-62.839572709285726
52,0.9847147,2.537645426765799,-62.27785161635688
53,0.9839686,0.30153668320610677,-57.47149664656489
54,0.9835422,2.468158293774319,-60.54146591400777
55,0.9828812,0.4452782412,-58.327930691999995
56,0.9826972,358.30026488532116,-62.33211182155963
57,0.98243445,359.60048041475403,-62.51670066393442
58,0.9820838,2.2178087785942493,-62.55381610031949
59,0.9818304,2.8398641816733066,-61.51881377808765
60,0.9808708,0.05312323453608243,-60.41924500618557
61,0.98039776,357.43331847624995,-59.1315617078125
62,0.9790917,1.7073399054054053,-58.18471942522523
63,0.9783965,359.52273955657375,-57.73552083027889
64,0.9776252,357.48825045655735,-61.48723481721312
65,0.9775743,0.8316252824675324,-59.53100350909091
66,0.9773867,3.003903353721683,-62.445477439805835
67,0.97643274,1.399070844855967,-61.30984202921811
68,0.9753397,359.67966233133643,-59.28910590829493
69,0.97500366,357.4827129310954,-58.62710615017668
70,0.9737162,0.024809049999999968,-59.746944653012044
71,0.97187984,0.9277687367346941,-58.82063702908163
72,0.97147244,0.6885000948571428,-60.39995801142857
73,0.9714668,2.8740662502074685,-60.664375926970955
74,0.97065914,0.6684749583892617,-59.63707189463087
75,0.96979755,2.353332165957447,-59.453422794148935
76,0.9697628,356.8905318624521,-60.51918959386973
77,0.96914756,0.3342348,-59.62008684764706
78,0.9685979,2.5347893546798033,-59.50199685615763
79,0.96768814,359.3939447594339,-58.82547706084906
80,0.96367776,0.3207664089473684,-63.03797551947368
81,0.96366006,358.63754439217877,-62.86761519217877
82,0.962671,359.26763831681035,-58.13202297112069
83,0.9607238,357.6693277652,-61.6146782168
84,0.95829636,1.834704047368421,-58.72197269912281
85,0.95825505,358.7700077565,-62.810926062
86,0.95656335,0.17883949884615383,-57.972865867307696
87,0.9536199,2.561875517021277,-57.569035727234045
88,0.9525591,357.164030169637,-59.05751362838284
89,0.9521702,1.053790356028369,-62.28969050070922
90,0.9512083,359.9560224639831,-58.32936816694915
91,0.9505453,2.9148609868913855,-58.614540141947565
92,0.9504963,359.9698092154321,-60.13070804320988
93,0.9499201,1.7157323530805686,-58.85634832938389
94,0.94865716,359.5562660815094,-57.19668557509434
95,0.9468496,2.3272503593607303,-59.060469105479456
96,0.9443213,358.30527381666667,-58.2310263372807
97,0.9440388,357.3405873020618,-60.07236267731958
98,0.94365764,357.22543669899665,-60.0981453799331
99,0.9433708,1.6507725653153154,-58.23208025675676
100,0.94258744,1.337274657364341,-59.814582451162785
101,0.94035435,0.40949951978021976,-62.158447664835165
102,0.9394105,359.98510865045046,-62.92880893108109
103,0.938918,359.5455931648401,-59.344552214611866
