,ra,dec,w1mpro,w1sigmpro,w1mpro2,w2sigmpro,mjd,qual_frame
138,1.5347215,-59.0874326,14.455,0.064,14.455,0.109,58621.39927271,10
139,1.5349886,-59.0875194,14.299,0.072,14.299,0.145,58621.53004878,10
140,1.5349962,-59.0874331,14.492,0.068,14.492,0.162,58621.66095213,10
141,1.5348167,-59.0874184,14.354,0.074,14.354,0.125,58621.33382108,10
142,1.5347932,-59.0874399,14.406,0.06,14.406,0.12,58621.46472443,10
143,1.5346342,-59.0874395,14.377,0.065,14.377,0.19,58620.94136578,10
144,1.5349815,-59.0875972,14.46,0.063,14.46,0.111,58621.26849672,10
145,1.5348661,-59.0875044,14.387,0.067,14.387,0.103,58621.07214175,10
146,1.5348512,-59.0875431,14.233,0.052,14.233,0.109,58620.81058975,10
147,1.5348365,-59.0875638,14.585,0.071,14.585,0.095,58621.26836941,10
148,1.5346367,-59.0874952,14.365,0.061,14.365,0.127,58620.67968639,10
154,1.5348536,-59.087494,14.187,0.054,14.187,0.09,58988.67398918,10
155,1.5348366,-59.0874661,14.207,0.059,14.207,0.095,58989.00099272,10
158,1.5347794,-59.0874447,14.224,0.073,14.224,0.123,58988.41243745,10
159,1.5348243,-59.0875117,14.134,0.054,14.134,0.116,58988.73944081,10
160,1.5348081,-59.0875707,14.133,0.066,14.133,0.102,58988.08556075,10
161,1.5349347,-59.087551,14.383,0.075,14.383,0.09,58987.95478485,10
162,1.534891,-59.0875391,14.203,0.062,14.203,0.117,58988.60866495,10
163,1.5348499,-59.0875427,14.287,0.061,14.287,0.114,58988.87021676,10
165,1.5347015,-59.0875935,14.226,0.064,14.226,0.123,58988.28166094,10
166,1.5346574,-59.087505,14.317,0.064,14.317,0.078,58987.62778131,10
168,1.5348206,-59.087462,13.91,0.049,13.91,0.078,59352.27713845,10
170,1.534911,-59.0875113,14.119,0.053,14.119,0.094,59352.93076425,10
172,1.5348207,-59.0874949,13.935,0.055,13.935,0.093,59351.95038949,10
174,1.534887,-59.0875137,13.941,0.051,13.941,0.072,59352.60388736,10
175,1.5348538,-59.087523,14.022,0.05,14.022,0.106,59353.06154025,10
176,1.5348409,-59.0875228,13.948,0.049,13.948,0.09,59353.32296481,10
177,1.5348427,-59.087581,13.991,0.054,13.991,0.076,59353.06141289,10
180,1.5347618,-59.087515,14.119,0.051,14.119,0.133,59352.34246275,10
181,1.5347564,-59.0875006,13.982,0.052,13.982,0.098,59352.86543933,10
183,1.5346632,-59.087535,13.995,0.076,13.995,0.084,59352.86531201,10
186,1.5350703,-59.0874847,14.094,0.061,14.094,0.136,59716.89765238,10
190,1.5349625,-59.0874946,13.948,0.048,13.948,0.078,59715.9840098,10
191,1.5348266,-59.0874502,14.042,0.052,14.042,0.078,59716.3102427,10
193,1.5349957,-59.0875723,13.982,0.059,13.982,0.101,59716.83232804,10
