ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
1.5349102,-59.0875161,71200a204-002439,14.193,0.058,10,57526.19006580,0.149946,98.421761
1.5348910,-59.0875391,17088r197-000385,14.203,0.062,10,58988.60866495,0.153956,132.879886
1.5347711,-59.0875414,33229r031-000313,14.015,0.052,10,59516.20081271,0.156994,223.939442
1.5348366,-59.0874661,17100r197-000388,14.207,0.059,10,58989.00099272,0.158521,4.416465
1.5347456,-59.0874965,76394a060-000397,14.322,0.059,10,57696.33867247,0.163479,287.294273
1.5347857,-59.0874700,76413a036-000355,14.182,0.066,10,57696.92824897,0.165689,330.362078
1.5349089,-59.0875329,98541a032-000524,14.577,0.073,10,58421.20576807,0.167588,119.465165
1.5348567,-59.0875545,82300a201-000347,13.882,0.046,10,57889.71744968,0.167644,162.868789
1.5347571,-59.0874808,76401a036-000485,14.412,0.067,10,57696.53515549,0.170964,307.943135
1.5348206,-59.0874620,28212r197-000370,13.910,0.049,10,59352.27713845,0.173678,354.255073
1.5348367,-59.0875582,60088a205-000371,14.132,0.084,10,57161.85676420,0.173950,175.915427
1.5347356,-59.0875070,39370r222-000344,13.938,0.049,10,59716.76713101,0.174925,273.539813
1.5347407,-59.0875271,87501a035-000291,13.941,0.048,10,58059.94920429,0.176243,249.557297
1.5347807,-59.0875521,76409a036-001466,14.300,0.066,10,57696.79721778,0.176885,211.030524
1.5349253,-59.0875050,93516a197-000459,14.312,0.059,10,58256.81542265,0.177178,84.168772
1.5347474,-59.0875396,48996a211-000331,14.010,0.047,10,56797.32348147,0.186250,235.102077
1.5347292,-59.0875186,48980a211-000330,14.006,0.067,10,56796.79706716,0.188969,260.570617
1.5348708,-59.0874614,60080a205-000368,14.072,0.052,10,57161.59432081,0.190537,23.329509
1.5347348,-59.0874884,10851r056-000430,14.274,0.065,10,58784.62263682,0.192461,293.828851
1.5348365,-59.0875638,05856r197-000473,14.585,0.071,10,58621.26836941,0.194050,176.448353
