ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
85.7772403,-2.7132300,0.0398,0.0359,-0.0147,11.042,0.018,59.9,1.296E+00,11.032,0.022,49.8,8.235E-01,1,0,0000,AA,10,57449.27342505,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.144000,0.429229
85.7772442,-2.7132297,0.0389,0.0367,-0.0112,10.629,0.017,65.1,9.632E-01,10.551,0.022,50.0,8.514E-01,1,0,0000,AA,10,58174.17750091,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.145858,5.943171
85.7772487,-2.7132301,0.0379,0.0342,0.0082,10.917,0.018,61.6,1.875E+00,10.973,0.024,45.4,1.373E+00,1,0,0000,AA,10,57647.71410625,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.147019,12.287169
85.7772297,-2.7132300,0.0336,0.0338,-0.0109,10.601,0.018,60.3,5.517E-01,10.565,0.020,54.7,1.398E+00,1,0,0000,AA,5,59632.04086356,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.148680,345.575547
85.7772490,-2.7132290,0.0396,0.0374,-0.0146,10.543,0.019,56.1,1.026E+00,10.535,0.022,49.5,7.313E-01,1,0,0000,AA,10,56724.73599201,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.151107,12.367305
85.7772324,-2.7132285,0.0327,0.0357,-0.0131,10.575,0.017,62.5,4.816E+00,10.577,0.020,54.1,1.047E+00,1,0,0000,AA,10,58536.89508609,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.151886,349.633655
85.7772363,-2.7132274,0.0321,0.0304,-0.0068,10.578,0.017,63.4,1.814E+00,10.528,0.019,57.5,1.441E+00,1,0,0000,AA,5,57448.55243587,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.153925,355.041600
85.7772585,-2.7132312,0.0354,0.0315,-0.0137,10.613,0.015,71.5,7.715E-01,10.595,0.020,53.1,1.004E+00,1,0,0000,AA,10,56922.04930107,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.154721,25.467041
85.7772279,-2.7132278,0.0326,0.0319,0.0074,10.570,0.018,61.0,8.555E-01,10.543,0.019,55.9,7.478E-01,1,0,0000,AA,10,57090.18860205,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.158013,344.017841
85.7772307,-2.7132269,0.0314,0.0320,-0.0095,10.641,0.016,67.1,1.157E+00,10.601,0.019,57.3,9.241E-01,1,0,0000,AA,10,57449.01123558,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.158729,347.836804
85.7772598,-2.7132302,0.0352,0.0326,-0.0086,10.625,0.017,63.1,9.195E-01,10.593,0.020,53.3,1.280E+00,1,0,0000,AA,10,58170.44736152,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.160004,26.424148
85.7772440,-2.7132256,0.0373,0.0376,0.0111,10.595,0.019,56.2,1.141E+00,10.601,0.019,57.0,1.180E+00,1,0,0000,AA,10,57284.27212653,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.160475,5.142145
85.7772410,-2.7132252,0.0328,0.0301,-0.0118,10.562,0.014,76.5,5.796E-01,10.549,0.019,56.8,1.335E+00,1,0,0000,AA,10,56731.12338543,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.161327,1.277278
85.7772332,-2.7132251,0.0360,0.0369,-0.0096,10.590,0.018,61.9,2.389E+00,10.592,0.021,50.5,1.544E+00,1,0,0000,AA,10,59268.62476288,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.163479,351.397642
85.7772506,-2.7132258,0.0359,0.0366,-0.0135,10.540,0.018,60.6,1.798E+00,10.550,0.021,52.1,1.174E+00,1,0,0000,AA,10,58900.79704957,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.163623,13.471361
85.7772428,-2.7132235,0.0401,0.0403,-0.0059,10.689,0.021,51.8,2.130E+00,10.706,0.021,52.5,7.847E-01,1,0,0000,AA,10,58170.57813856,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.167701,3.442054
85.7772457,-2.7132236,0.0332,0.0357,-0.0127,10.579,0.018,59.4,1.018E+00,10.571,0.020,53.9,1.610E+00,1,0,0000,AA,10,58537.02598979,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.168291,6.995629
