ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
29.3084169,-61.5938423,17510r241-000141,12.729,0.028,10,59002.40814451,0.078602,35.866368
29.3083527,-61.5938469,87913a014-000152,12.641,0.026,10,58073.43239200,0.079379,306.437142
29.3083860,-61.5938379,39890r240-000251,12.658,0.028,10,59733.73541473,0.079854,355.078802
29.3083449,-61.5938657,76901a019-000223,12.559,0.026,10,57712.90880818,0.079913,255.121699
29.3083950,-61.5938377,06344r216-000201,12.731,0.029,10,58637.23207525,0.080736,6.088344
29.3084000,-61.5938380,51034r240-000139,12.688,0.026,10,60096.60510752,0.081028,12.201542
29.3083652,-61.5938403,54986a050-000146,12.677,0.026,10,56994.32639414,0.082645,329.083685
29.3084368,-61.5938530,54989a026-000143,12.593,0.026,10,56994.39210060,0.084005,72.546134
29.3084384,-61.5938647,28632r215-000160,12.603,0.027,10,59366.00416167,0.084621,101.537191
29.3083886,-61.5938365,54974a051-000144,12.570,0.024,10,56993.93202723,0.084621,358.376632
29.3083617,-61.5938407,76894a043-000156,12.613,0.025,10,57712.71232542,0.084733,325.102043
29.3083836,-61.5938835,28626r241-000153,12.630,0.030,10,59365.80818873,0.085289,187.381966
29.3084381,-61.5938664,60465b251-000265,12.570,0.029,10,57174.26137659,0.085510,105.626069
29.3083997,-61.5938365,49472a226-000146,12.625,0.026,10,56812.98601323,0.086225,11.109288
29.3083560,-61.5938420,82796a217-000138,12.601,0.025,10,57905.95660284,0.087097,318.057767
29.3083485,-61.5938460,54969a027-000137,12.577,0.026,10,56993.73490775,0.087151,305.341826
29.3083399,-61.5938671,49512a232-000149,12.616,0.031,10,56814.30204860,0.089504,253.411178
29.3083703,-61.5938832,87891a039-000137,12.644,0.027,10,58072.71242287,0.090083,201.996259
29.3084214,-61.5938804,28614r241-000153,12.654,0.025,10,59365.41598763,0.091022,143.787191
29.3084132,-61.5938828,51044r214-000134,12.650,0.025,10,60096.92956451,0.091177,154.170046
29.3083472,-61.5938449,82820a217-000139,12.597,0.027,10,57906.74227769,0.091281,306.561455
29.3083365,-61.5938590,60469b250-000136,12.586,0.024,10,57174.39253444,0.091694,272.250044
29.3083363,-61.5938587,49461b251-000143,12.655,0.027,10,56812.65710000,0.092105,272.913156
29.3084174,-61.5938823,39876r215-000182,12.681,0.026,10,59733.27865384,0.092973,149.693091
29.3083406,-61.5938709,39868r214-000158,12.678,0.026,10,59733.01761069,0.093277,245.117158
29.3083370,-61.5938674,54862a048-000135,12.640,0.025,10,56990.25106285,0.094585,253.643092
29.3084392,-61.5938480,54958a051-000134,12.605,0.026,10,56993.40624797,0.094684,62.855661
29.3084162,-61.5938833,76866a044-000387,12.685,0.030,10,57711.79536344,0.095132,151.856444
29.3083857,-61.5938867,28714r240-000148,12.654,0.026,10,59368.68436897,0.096415,184.381087
29.3083340,-61.5938634,17492r216-000184,12.753,0.027,10,59001.81958910,0.096659,262.726834
29.3083383,-61.5938485,98941a013-000176,12.722,0.026,10,58434.29152618,0.097728,295.059892
29.3083806,-61.5938869,22467r036-000182,12.739,0.029,10,59164.46187988,0.098162,189.438315
29.3083333,-61.5938548,71661b245-000157,12.600,0.025,10,57541.32722403,0.098882,280.911798
29.3083564,-61.5938375,76870a043-000277,12.456,0.032,10,57711.92626705,0.099358,324.609751
29.3083606,-61.5938841,93926a241-000251,12.691,0.028,10,58270.23174490,0.100304,210.128159
29.3084394,-61.5938450,76865a019-000135,12.668,0.027,10,57711.72978427,0.100351,57.450569
29.3083336,-61.5938676,28724r216-000153,12.682,0.028,10,59369.01124524,0.100399,254.184696
29.3083954,-61.5938321,06330r240-000165,12.710,0.030,10,58636.77416853,0.100868,5.260655
29.3084076,-61.5938332,33623r036-000172,12.666,0.027,10,59529.07162251,0.101102,17.349453
29.3084492,-61.5938591,28656r216-000164,12.675,0.028,10,59366.78856267,0.101428,88.169628
29.3083847,-61.5938319,82816a217-000158,12.629,0.026,10,57906.61124697,0.101568,354.872789
29.3084432,-61.5938475,28694r239-000154,12.692,0.027,10,59368.03074328,0.101614,63.714773
29.3084118,-61.5938332,06374r240-000201,12.708,0.034,10,58638.21321292,0.103457,21.154713
29.3083308,-61.5938534,33635r037-000168,12.713,0.026,10,59529.46369603,0.104140,283.189438
29.3084481,-61.5938508,87867a039-001245,12.612,0.029,10,58071.92687455,0.104863,71.589488
29.3084512,-61.5938559,33725r014-000174,12.642,0.026,10,59532.40380184,0.105849,81.984014
29.3084518,-61.5938560,60505b250-000163,12.504,0.027,10,57175.57371491,0.106826,82.252100
29.3083282,-61.5938530,87891a038-000152,12.611,0.035,10,58072.71229546,0.108798,283.392732
